Country,State,Year,Month,"Food Grains Allocated (UOM:MT(MetricTonne)), Scaling Factor:1000","Ration Cards Issued (UOM:Number), Scaling Factor:1","Transaction For Ration Cards (UOM:Number), Scaling Factor:1","Aadhaar Authenticated Transactions (UOM:Number), Scaling Factor:1","Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)), Scaling Factor:1","Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(MetricTonne)), Scaling Factor:1000","Manual Distribution Of Food Grains (UOM:MT(MetricTonne)), Scaling Factor:1000","Distribution Of Food Grains (UOM:MT(MetricTonne)), Scaling Factor:1000"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2024","March, 2024",154148.03,9021931,2809532,2809532,100,644.36,0,644.36
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2024","March, 2024",4677.46,180490,13462,203,1.51,374.46,0,374.46
India,Assam,"Calendar Year (Jan - Dec), 2024","March, 2024",135479.33,6637940,5029526,5008997,99.59,101321.79,0,101321.79
India,Delhi,"Calendar Year (Jan - Dec), 2024","March, 2024",37572.75,1781363,1161488,1161488,100,25696.23,0,25696.23
India,Goa,"Calendar Year (Jan - Dec), 2024","March, 2024",2856.63,128819,11736,11567,98.56,0,0,0
India,Gujarat,"Calendar Year (Jan - Dec), 2024","March, 2024",198288.02,7760015,80848,80841,99.99,1090.64,0,1090.64
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2024","March, 2024",39798.05,1623850,360185,300554,83.44,1928.65,0,1928.65
India,Jharkhand,"Calendar Year (Jan - Dec), 2024","March, 2024",144959.47,5662771,36507,34678,94.99,179.88,0,179.88
India,Karnataka,"Calendar Year (Jan - Dec), 2024","March, 2024",217403,11422159,88835,88835,100,6.22,0,6.22
India,Ladakh,"Calendar Year (Jan - Dec), 2024","March, 2024",0,29895,20,20,100,0.31,0,0.31
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2024","March, 2024",297039.11,12526966,563999,557317,98.82,5392.35,0,5392.35
India,Maharashtra,"Calendar Year (Jan - Dec), 2024","March, 2024",383766,16204844,55165,55165,100,501.08,0,501.08
India,Odisha,"Calendar Year (Jan - Dec), 2024","March, 2024",179926.06,9275604,9116722,8144309,89.33,2.47,0,2.47
India,Rajasthan,"Calendar Year (Jan - Dec), 2024","March, 2024",232631,10738612,2548332,2548316,100,55013.45,0,55013.45
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2024","March, 2024",202114.13,11427820,2169263,2139695,98.64,1080.51,0,1080.51
India,Telangana,"Calendar Year (Jan - Dec), 2024","March, 2024",108004.23,5439176,2062398,2062398,100,0,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2024","March, 2024",13761.1,605695,45949,45944,99.99,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2024","March, 2024",330516.44,51741484,1008276,1008157,99.99,10003.47,0,10003.47
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2024","February, 2024",332.7,17221,2856,2856,100,62.64,0,62.64
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2024","February, 2024",154148.03,9023477,8427589,8427589,100,1277.62,0,1277.62
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2024","February, 2024",4677.46,180490,161332,11341,7.03,4296.63,0,4296.63
India,Assam,"Calendar Year (Jan - Dec), 2024","February, 2024",135479.33,6638206,6243369,6198148,99.28,123522.28,0,123522.28
India,Bihar,"Calendar Year (Jan - Dec), 2024","February, 2024",457821.73,19327393,11536499,11529148,99.94,85054.49,0,85054.49
India,Delhi,"Calendar Year (Jan - Dec), 2024","February, 2024",37572.75,1783299,1969035,1969035,100,42816.35,0,42816.35
India,Goa,"Calendar Year (Jan - Dec), 2024","February, 2024",2856.63,128879,119443,114867,96.17,0,0,0
India,Gujarat,"Calendar Year (Jan - Dec), 2024","February, 2024",198288.02,7756140,7175489,7147234,99.61,107121.6,0,107121.6
India,Haryana,"Calendar Year (Jan - Dec), 2024","February, 2024",66250,4486954,7713644,7713644,100,165584.34,0,165584.34
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2024","February, 2024",39798.05,1661355,1576664,1484817,94.17,14324.8,0,14324.8
India,Jharkhand,"Calendar Year (Jan - Dec), 2024","February, 2024",144959.47,5662235,5378281,5177959,96.28,24076.02,0,24076.02
India,Karnataka,"Calendar Year (Jan - Dec), 2024","February, 2024",217403,11422861,10692441,10692436,100,5530.63,0,5530.63
India,Kerala,"Calendar Year (Jan - Dec), 2024","February, 2024",85459.89,4138959,3626964,3412590,94.09,25602.8,0,25602.8
India,Ladakh,"Calendar Year (Jan - Dec), 2024","February, 2024",0,29962,24856,16907,68.02,349.27,0,349.27
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2024","February, 2024",297039.11,12436387,10959982,10676237,97.41,103046.72,0,103046.72
India,Maharashtra,"Calendar Year (Jan - Dec), 2024","February, 2024",383766,16169322,14931511,14931511,100,125127.22,0,125127.22
India,Meghalaya,"Calendar Year (Jan - Dec), 2024","February, 2024",10800.27,410431,315847,73932,23.41,8812.78,0,8812.78
India,Mizoram,"Calendar Year (Jan - Dec), 2024","February, 2024",3827.96,286362,169563,148369,87.5,3972.16,0,3972.16
India,Nagaland,"Calendar Year (Jan - Dec), 2024","February, 2024",7632.11,329806,272604,75816,27.81,0,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2024","February, 2024",179926.06,9275604,9091676,8120694,89.32,29.22,0,29.22
India,Rajasthan,"Calendar Year (Jan - Dec), 2024","February, 2024",232631,10742623,10030323,10030285,100,217003.38,0,217003.38
India,Sikkim,"Calendar Year (Jan - Dec), 2024","February, 2024",2197.94,97695,68785,68292,99.28,1649.06,0,1649.06
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2024","February, 2024",202114.13,11427496,10614511,10294043,96.98,4896.42,0,4896.42
India,Telangana,"Calendar Year (Jan - Dec), 2024","February, 2024",108004.23,5439176,4770323,4770323,100,0,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2024","February, 2024",451.98,50964,3897,3897,100,8.91,0,8.91
India,Tripura,"Calendar Year (Jan - Dec), 2024","February, 2024",13761.1,605490,584233,580506,99.36,0,0,0
